#,Pattern,,Time (msec),,,,,Cumulative
,,,Absolute,vs. best,vs. mean,vs. median,,
1,[1] N1 S1 S2 S3,0,926.5666667,0,-18.29617515,-17.36666667,0.001,0.001
2,[1] N1 S1 S2 S3,1,929.0666667,2.5,-15.79617515,-14.86666667,0.0045,0.0055
3,[2] N1 S4 S5 S6,0,929.6666667,3.1,-15.19617515,-14.26666667,0.004,0.0095
4,[3] N1 S1 S2 N3 S3,0,930.6333333,4.066666667,-14.22950848,-13.3,0.0005,0.01
5,[4] N1 S1 S2 N3 S7,0,930.9666667,4.4,-13.89617515,-12.96666667,0.001,0.011
6,[5] N1 S1 N2 N1 S1 S2,0,931.5666667,5,-13.29617515,-12.36666667,0.000125,0.011125
7,[1] N1 S1 S2 S3,2,931.5666667,5,-13.29617515,-12.36666667,0.00675,0.017875
8,[6] N1 N2 S1 S2 S3,0,931.6,5.033333333,-13.26284181,-12.33333333,0.00025,0.018125
9,[7] N1 S1 N2 S5 S4,0,931.8666667,5.3,-12.99617515,-12.06666667,0.0005,0.018625
10,[8] N1 S8 N4 S2 S1,0,932,5.433333333,-12.86284181,-11.93333333,0.001,0.019625
11,[2] N1 S4 S5 S6,1,932.1666667,5.6,-12.69617515,-11.76666667,0.018,0.037625
12,[9] N1 S8 N4 S1 S2,0,932.3,5.733333333,-12.56284181,-11.63333333,0.001,0.038625
13,[10] N1 S4 S5 N2 S1,0,932.8333333,6.266666667,-12.02950848,-11.1,0.001,0.039625
14,[11] N1 S1 N2 S5 S6,0,932.9666667,6.4,-11.89617515,-10.96666667,0.00025,0.039875
15,[3] N1 S1 S2 N3 S3,1,933.1333333,6.566666667,-11.72950848,-10.8,0.00225,0.042125
16,[12] N1 S1 S2 N4 S8,0,933.4333333,6.866666667,-11.42950848,-10.5,0.00025,0.042375
17,[4] N1 S1 S2 N3 S7,1,933.4666667,6.9,-11.39617515,-10.46666667,0.0045,0.046875
18,[13] N1 S4 S5 N5 S7,0,933.5666667,7,-11.29617515,-10.36666667,0.002,0.048875
19,[14] N1 S1 S2 N3 N5 S5,0,933.9,7.333333333,-10.96284181,-10.03333333,0.000125,0.049
20,[5] N1 S1 N2 N1 S1 S2,1,934.0666667,7.5,-10.79617515,-9.866666667,0.0005625,0.0495625
21,[1] N1 S1 S2 S3,3,934.0666667,7.5,-10.79617515,-9.866666667,0.003375,0.0529375
22,[6] N1 N2 S1 S2 S3,1,934.1,7.533333333,-10.76284181,-9.833333333,0.001125,0.0540625
23,[15] N1 S1 S2 N3 N5 S7,0,934.3666667,7.8,-10.49617515,-9.566666667,0.000125,0.0541875
24,[7] N1 S1 N2 S5 S4,1,934.3666667,7.8,-10.49617515,-9.566666667,0.00225,0.0564375
25,[8] N1 S8 N4 S2 S1,1,934.5,7.933333333,-10.36284181,-9.433333333,0.0045,0.0609375
26,[2] N1 S4 S5 S6,2,934.6666667,8.1,-10.19617515,-9.266666667,0.027,0.0879375
27,[9] N1 S8 N4 S1 S2,1,934.8,8.233333333,-10.06284181,-9.133333333,0.0045,0.0924375
28,[16] N1 N2 S5 S6 S7,0,934.9333333,8.366666667,-9.929508479,-9,0.002,0.0944375
29,[17] N1 N2 S1 N1 S4 S5,0,935.1333333,8.566666667,-9.729508479,-8.8,0.0005,0.0949375
30,[18] N1 S1 N2 N1 S4 S5,0,935.1333333,8.566666667,-9.729508479,-8.8,0.001,0.0959375
31,[19] N1 S1 N4 S2 S1,0,935.2,8.633333333,-9.662841813,-8.733333333,0.0005,0.0964375
32,[10] N1 S4 S5 N2 S1,1,935.3333333,8.766666667,-9.529508479,-8.6,0.0045,0.1009375
33,[20] N1 S1 S2 N4 S1,0,935.4,8.833333333,-9.462841813,-8.533333333,0.00025,0.1011875
34,[11] N1 S1 N2 S5 S6,1,935.4666667,8.9,-9.396175146,-8.466666667,0.001125,0.1023125
35,[3] N1 S1 S2 N3 S3,2,935.6333333,9.066666667,-9.229508479,-8.3,0.003375,0.1056875
36,[21] N1 N2 S1 S2 N3 S3,0,935.6666667,9.1,-9.196175146,-8.266666667,0.000125,0.1058125
37,[22] N1 S8 N4 S1 N1 S8,0,935.7666667,9.2,-9.096175146,-8.166666667,0.0005,0.1063125
38,[23] N1 N2 S5 S4 N1 S8,0,935.8333333,9.266666667,-9.029508479,-8.1,0.001,0.1073125
39,[24] N1 S8 N4 S2 S3,0,935.9333333,9.366666667,-8.929508479,-8,0.001,0.1083125
40,[25] N1 S4 S5 N2 N1 S8,0,935.9333333,9.366666667,-8.929508479,-8,0.0005,0.1088125
41,[12] N1 S1 S2 N4 S8,1,935.9333333,9.366666667,-8.929508479,-8,0.001125,0.1099375
42,[4] N1 S1 S2 N3 S7,2,935.9666667,9.4,-8.896175146,-7.966666667,0.00675,0.1166875
43,[26] N1 N2 S1 S2 N3 S7,0,936,9.433333333,-8.862841813,-7.933333333,0.00025,0.1169375
44,[13] N1 S4 S5 N5 S7,1,936.0666667,9.5,-8.796175146,-7.866666667,0.009,0.1259375
45,[27] N1 S1 N2 N5 S7 S6,0,936.1333333,9.566666667,-8.729508479,-7.8,0.000125,0.1260625
46,[28] N1 S1 N2 N5 S5 S4,0,936.2,9.633333333,-8.662841813,-7.733333333,0.000125,0.1261875
47,[14] N1 S1 S2 N3 N5 S5,1,936.4,9.833333333,-8.462841813,-7.533333333,0.0005625,0.12675
48,[29] N1 N2 S1 N1 N2 S1 S2,0,936.5333333,9.966666667,-8.329508479,-7.4,0.000015625,0.126765625
49,[5] N1 S1 N2 N1 S1 S2,2,936.5666667,10,-8.296175146,-7.366666667,0.00084375,0.127609375
50,[6] N1 N2 S1 S2 S3,2,936.6,10.03333333,-8.262841813,-7.333333333,0.0016875,0.129296875
51,[30] N1 N2 S5 S4 N1 S1,0,936.7,10.13333333,-8.162841813,-7.233333333,0.002,0.131296875
52,[31] N1 S1 N2 S5 N5 S7,0,936.8333333,10.26666667,-8.029508479,-7.1,0.0000625,0.131359375
53,[32] N1 S4 S5 N2 N1 S1,0,936.8333333,10.26666667,-8.029508479,-7.1,0.0005,0.131859375
54,[15] N1 S1 S2 N3 N5 S7,1,936.8666667,10.3,-7.996175146,-7.066666667,0.0005625,0.132421875
55,[7] N1 S1 N2 S5 S4,2,936.8666667,10.3,-7.996175146,-7.066666667,0.003375,0.135796875
56,[33] N1 S1 N4 S8 N1 S1,0,936.9333333,10.36666667,-7.929508479,-7,0.0005,0.136296875
57,[8] N1 S8 N4 S2 S1,2,937,10.43333333,-7.862841813,-6.933333333,0.00675,0.143046875
58,[34] N1 S1 N2 N5 S5 S6,0,937.0333333,10.46666667,-7.829508479,-6.9,0.0000625,0.143109375
59,[35] N1 S4 S5 N5 N2 S1,0,937.1666667,10.6,-7.696175146,-6.766666667,0.001,0.144109375
60,[2] N1 S4 S5 S6,3,937.1666667,10.6,-7.696175146,-6.766666667,0.0135,0.157609375
61,[9] N1 S8 N4 S1 S2,2,937.3,10.73333333,-7.562841813,-6.633333333,0.00675,0.164359375
62,[36] N1 S4 S5 N5 N3 S2,0,937.3666667,10.8,-7.496175146,-6.566666667,0.0005,0.164859375
63,[37] N1 S4 S5 N2 N1 S4,0,937.3666667,10.8,-7.496175146,-6.566666667,0.001,0.165859375
64,[38] N1 S8 N4 S1 N1 S4,0,937.4,10.83333333,-7.462841813,-6.533333333,0.001,0.166859375
65,[16] N1 N2 S5 S6 S7,1,937.4333333,10.86666667,-7.429508479,-6.5,0.009,0.175859375
66,[17] N1 N2 S1 N1 S4 S5,1,937.6333333,11.06666667,-7.229508479,-6.3,0.00225,0.178109375
67,[18] N1 S1 N2 N1 S4 S5,1,937.6333333,11.06666667,-7.229508479,-6.3,0.0045,0.182609375
68,[19] N1 S1 N4 S2 S1,1,937.7,11.13333333,-7.162841813,-6.233333333,0.00225,0.184859375
69,[39] N1 S1 N4 S8 N1 S4,0,937.7333333,11.16666667,-7.129508479,-6.2,0.001,0.185859375
70,[10] N1 S4 S5 N2 S1,2,937.8333333,11.26666667,-7.029508479,-6.1,0.00675,0.192609375
71,[20] N1 S1 S2 N4 S1,1,937.9,11.33333333,-6.962841813,-6.033333333,0.001125,0.193734375
72,[40] N1 S1 N2 N5 N3 S2 S1,0,937.9666667,11.4,-6.896175146,-5.966666667,0.0000625,0.193796875
73,[11] N1 S1 N2 S5 S6,2,937.9666667,11.4,-6.896175146,-5.966666667,0.0016875,0.195484375
74,[41] N1 S1 S2 N3 N5 N2 S1,0,938.0333333,11.46666667,-6.829508479,-5.9,0.0000625,0.195546875
75,[42] N1 S4 S5 N5 N2 S5,0,938.0333333,11.46666667,-6.829508479,-5.9,0.001,0.196546875
76,[3] N1 S1 S2 N3 S3,3,938.1333333,11.56666667,-6.729508479,-5.8,0.0016875,0.198234375
77,[43] N1 S4 S5 N2 N5 S5,0,938.1666667,11.6,-6.696175146,-5.766666667,0.00025,0.198484375
78,[21] N1 N2 S1 S2 N3 S3,1,938.1666667,11.6,-6.696175146,-5.766666667,0.0005625,0.199046875
79,[44] N1 S1 S2 N4 N6 S3,0,938.2333333,11.66666667,-6.629508479,-5.7,0.0005,0.199546875
80,[22] N1 S8 N4 S1 N1 S8,1,938.2666667,11.7,-6.596175146,-5.666666667,0.00225,0.201796875
81,[23] N1 N2 S5 S4 N1 S8,1,938.3333333,11.76666667,-6.529508479,-5.6,0.0045,0.206296875
82,[24] N1 S8 N4 S2 S3,1,938.4333333,11.86666667,-6.429508479,-5.5,0.0045,0.210796875
83,[25] N1 S4 S5 N2 N1 S8,1,938.4333333,11.86666667,-6.429508479,-5.5,0.00225,0.213046875
84,[12] N1 S1 S2 N4 S8,2,938.4333333,11.86666667,-6.429508479,-5.5,0.0016875,0.214734375
85,[45] N1 N2 S1 S2 N4 S8,0,938.4666667,11.9,-6.396175146,-5.466666667,0.0000625,0.214796875
86,[4] N1 S1 S2 N3 S7,3,938.4666667,11.9,-6.396175146,-5.466666667,0.003375,0.218171875
87,[26] N1 N2 S1 S2 N3 S7,1,938.5,11.93333333,-6.362841813,-5.433333333,0.001125,0.219296875
88,[46] N1 S1 N2 N1 S1 N2 S5,0,938.5333333,11.96666667,-6.329508479,-5.4,0.00003125,0.219328125
89,[47] N1 N2 S5 N5 S7 S6,0,938.5333333,11.96666667,-6.329508479,-5.4,0.00025,0.219578125
90,[13] N1 S4 S5 N5 S7,2,938.5666667,12,-6.296175146,-5.366666667,0.0135,0.233078125
91,[27] N1 S1 N2 N5 S7 S6,1,938.6333333,12.06666667,-6.229508479,-5.3,0.0005625,0.233640625
92,[28] N1 S1 N2 N5 S5 S4,1,938.7,12.13333333,-6.162841813,-5.233333333,0.0005625,0.234203125
93,[48] N1 S4 S5 N2 N5 S7,0,938.8666667,12.3,-5.996175146,-5.066666667,0.00025,0.234453125
